Year,Species,Number,Whole_Wt_ metric_tons,Region,Management Area,RI_Area
2006,Sockeye,2524501,6402.93,Central,E,PWS
1990,Sockeye,2386917,6408.72,Westward,M,SPen
1985,Sockeye,2598831,6426.09,Westward,M,WAK
2011,Chum,1914525,6427.71,Central,E,PWS
1986,Chum,1705426,6452.2,Central,E,PWS
2006,Pink,4264143,6464.48,Westward,M,SPen
1988,Chum,1908507,6466.5,Westward,M,SPen
1986,Sockeye,2471437,6488.52,Westward,M,WAK
2005,Sockeye,2338318,6495.46,Westward,M,SPen
1994,Sockeye,2878238,6505.54,Westward,K,Kod
2013,Sockeye,2334623,6519.42,Central,E,PWS
2009,Sockeye,2430163,6547.77,Westward,M,WAK
2002,Sockeye,2263328,6555.68,Central,E,PWS
2006,Pink,3730885,6556.98,Southeastern,D,SEAK
2006,Pink,3804819,6618.06,Southeastern,A,SEAK
1994,Chum,2192079,6666.04,Westward,M,SPen
2001,Sockeye,2659732,6685.56,Westward,K,Kod
2001,Pink,4021482,6726.97,Westward,M,SPen
2014,Pink,3942104.7,6729.38,Southeastern,C,SEAK
1986,Chum,1700256,6729.73,Southeastern,B,SEAK
2013,Sockeye,2577209,6750.12,Westward,K,Kod
1996,Sockeye,1958393,6759.77,Westward,L,SPen
2004,Chum,2001949,6825.37,Central,E,PWS
2015,Sockeye,3103703,6849.97,Westward,K,Kod
2015,Sockeye,2899250,6855.44,Central,H,CI
1987,Chum,1953777,6884.51,Central,E,PWS
1994,Sockeye,2783327,6957.3,Westward,M,WAK
2015,Sockeye,2736624,6973.54,Westward,M,WAK
1989,Sockeye,2661217,6980.86,Westward,M,SPen
2003,Chum,2303342,7001.09,Southeastern,C,SEAK
1988,Sockeye,2701276,7025.39,Westward,K,Kod
2015,Chum,2512460,7045.23,Central,E,PWS
1993,Pink,5256838,7077.75,Southeastern,D,SEAK
2012,Chum,2084881,7098.05,Southeastern,D,SEAK
2007,Chum,2122785,7154.46,Southeastern,D,SEAK
2014,Sockeye,2621776,7178.54,Central,H,CI
1988,Chum,1850523,7186.13,Central,E,PWS
1994,Coho,1924750,7186.28,Southeastern,A,SEAK
1995,Sockeye,3016211,7304.59,Westward,M,SPen
2008,Sockeye,2804722,7319.59,Central,H,CI
1992,Pink,4935142,7347.1,Southeastern,A,SEAK
1999,Sockeye,2991819,7391.84,Westward,M,SPen
2003,Pink,4262920,7400.84,Westward,M,SPen
1992,Chum,1943647,7471.9,Southeastern,B,SEAK
1993,Pink,5761097,7474.56,Central,E,PWS
2005,Chum,2099493,7493.47,Central,E,PWS
2011,Pink,5005771,7502.81,Westward,M,SPen
2003,Sockeye,2730160,7556.89,Central,E,PWS
2000,Sockeye,2906466,7559.59,Westward,K,Kod
1987,Pink,4224856,7589.23,Southeastern,B,SEAK
2005,Chum,1749827,7613.88,Southeastern,B,SEAK
2005,Sockeye,3052301,7615.04,Westward,K,Kod
1997,Chum,1794357,7740.68,Southeastern,A,SEAK
2014,Sockeye,3266317,7752.49,Westward,K,Kod
2013,Sockeye,2405151,7761.06,Westward,L,SPen
2008,Chum,1916061,7918.44,Southeastern,B,SEAK
1998,Sockeye,3623712,7950.34,Westward,K,Kod
2015,Sockeye,3221693,7990.77,Central,E,PWS
1999,Sockeye,3194605,7991.76,Central,H,CI
2013,Sockeye,2859527,8054.72,Central,H,CI
1996,Chum,3071702,8063.21,Southeastern,A,SEAK
1988,Chum,1985075,8096.99,Southeastern,B,SEAK
1995,Sockeye,3272758,8097.09,Westward,M,WAK
2011,Sockeye,2497004,8115.32,Westward,L,SPen
2010,Sockeye,2928105,8126.36,Central,H,CI
1996,Pink,5842445,8157.02,Southeastern,C,SEAK
2002,Pink,5061116,8164.91,Southeastern,D,SEAK
1985,Pink,4431016,8172.2,Westward,M,SPen
1995,Sockeye,3242594,8177.67,Central,H,CI
2002,Chum,1902819,8184.54,Southeastern,B,SEAK
2015,Sockeye,3209917,8189.4,Westward,M,SPen
1996,Chum,2103559,8257.31,Central,E,PWS
1987,Pink,5075508,8304.01,Westward,K,Kod
1986,Sockeye,3188049,8406.58,Westward,K,Kod
2010,Pink,4536616,8533.6,Southeastern,D,SEAK
2005,Sockeye,3118098,8556.09,Westward,M,WAK
2006,Chum,2181580,8621.94,Central,E,PWS
1990,Pink,5983812,8623.68,Westward,K,Kod
1996,Sockeye,3000602,8645.85,Central,E,PWS
1997,Chum,2227193,8693.35,Central,E,PWS
2002,Pink,5618069,8770.14,Southeastern,A,SEAK
2002,Sockeye,3101775,8871.3,Central,H,CI
1992,Sockeye,3445914,8873.18,Westward,M,SPen
2009,Chum,2923237,8881.95,Southeastern,D,SEAK
2007,Sockeye,3410482,8884.05,Westward,M,WAK
2001,Pink,5787782,8904.46,Southeastern,A,SEAK
2007,Pink,5592651,8997.52,Southeastern,A,SEAK
2014,Sockeye,3305481,9014.83,Central,E,PWS
2014,Chum,2048366,9016.19,Southeastern,B,SEAK
2007,Pink,5856474,9034.56,Southeastern,D,SEAK
2015,Pink,5253588,9054.57,Southeastern,C,SEAK
2003,Chum,2803695,9086.09,Southeastern,A,SEAK
1992,Sockeye,3578593,9115.88,Westward,M,WAK
1999,Sockeye,25660040,9130.64,Central,T,WAK
2009,Chum,2337378,9140.69,Southeastern,B,SEAK
2015,Pink,6436882,9187.71,Central,H,CI
1989,Pink,6825124,9238.89,Westward,K,Kod
1993,Chum,2662908,9257.37,Southeastern,B,SEAK
1993,Sockeye,3689074,9322.19,Westward,M,SPen
1999,Sockeye,3116527,9330.42,Westward,L,SPen
2013,Chum,2163849,9341.15,Southeastern,B,SEAK
2007,Sockeye,3231202,9343.27,Central,E,PWS
1991,Pink,8268302,9402,Southeastern,A,SEAK
1994,Sockeye,3706195,9479.38,Central,H,CI
2015,Chum,2974140,9513.73,Southeastern,D,SEAK
1999,Chum,2310828,9537.26,Southeastern,A,SEAK
2015,Chum,3120468,9604.59,Southeastern,A,SEAK
2003,Chum,3236673,9762.66,Southeastern,D,SEAK
2005,Chum,2591129,9788.61,Southeastern,D,SEAK
1997,Pink,5697832,9791.09,Southeastern,D,SEAK
2003,Sockeye,4053857,9858.73,Westward,K,Kod
2002,Chum,2428321,9859.02,Southeastern,D,SEAK
2011,Sockeye,3542007,9930.06,Central,E,PWS
2001,Chum,2689934,9940.09,Southeastern,D,SEAK
2004,Pink,6681447,9955.7,Westward,M,SPen
1994,Pink,7146473,9962.74,Southeastern,D,SEAK
2004,Sockeye,4169615,10007.88,Westward,K,Kod
2010,Chum,2795353,10015.4,Southeastern,D,SEAK
1993,Sockeye,3866593,10064.27,Westward,M,WAK
1999,Chum,2294615,10075.36,Southeastern,C,SEAK
2009,Pink,6879169,10084.82,Southeastern,A,SEAK
2012,Sockeye,3332508,10136.73,Central,H,CI
1993,Sockeye,4378941,10186.39,Westward,K,Kod
2004,Chum,2619200,10204.61,Southeastern,B,SEAK
2007,Sockeye,3693857,10246.94,Central,H,CI
1991,Pink,8747819,10269.75,Southeastern,C,SEAK
1989,Pink,6607011,10298.7,Southeastern,A,SEAK
2004,Chum,2891973,10307.88,Southeastern,A,SEAK
2010,Chum,2860635,10331.66,Southeastern,A,SEAK
1985,Pink,7094503,10356.33,Southeastern,D,SEAK
2003,Chum,2771247,10390.59,Southeastern,B,SEAK
1995,Sockeye,4488545,10402.06,Westward,K,Kod
2007,Pink,6580020,10478.06,Southeastern,C,SEAK
1993,Chum,3527887,10484.41,Southeastern,D,SEAK
2010,Pink,5877500,10526.13,Southeastern,C,SEAK
2001,Chum,3099796,10658.99,Central,E,PWS
2014,Chum,2598921,10723.1,Southeastern,A,SEAK
1992,Sockeye,4167877,10743.3,Westward,K,Kod
2002,Chum,2413758,10782.92,Southeastern,A,SEAK
2003,Sockeye,4137543,10816.12,Central,H,CI
1990,Sockeye,3819578,10882.69,Central,H,CI
2009,Chum,3222176,10979.09,Central,E,PWS
1985,Sockeye,4338826,10991.8,Central,H,CI
2003,Chum,3804895,11006.92,Central,E,PWS
2013,Pink,7802907,11037.27,Westward,M,SPen
1999,Chum,2960822,11069.22,Central,E,PWS
1999,Sockeye,4653057,11107.15,Westward,K,Kod
1985,Pink,8068192,11140.54,Southeastern,A,SEAK
2007,Chum,3579068,11248.55,Central,E,PWS
1997,Pink,6378258,11366.61,Southeastern,A,SEAK
2012,Sockeye,3700809,11379.83,Central,E,PWS
1988,Pink,7044824,11396.89,Westward,M,SPen
1993,Pink,8909350,11431.85,Southeastern,A,SEAK
2009,Chum,3656981,11486.3,Southeastern,A,SEAK
2009,Pink,7921119,11531.17,Westward,M,SPen
1994,Chum,3146616,11549.55,Southeastern,B,SEAK
2015,Pink,7136113,11581.9,Southeastern,D,SEAK
2007,Chum,3300046,11648.81,Southeastern,A,SEAK
1999,Pink,8456449,11739.99,Westward,M,SPen
1997,Pink,7044507,11932.17,Southeastern,C,SEAK
1997,Sockeye,4163400,11946.88,Central,E,PWS
2008,Chum,3215818,11952.53,Southeastern,D,SEAK
2005,Pink,7294985,12003.63,Southeastern,C,SEAK
1998,Pink,7833285,12117.79,Southeastern,C,SEAK
1985,Pink,7334825,12140.09,Westward,K,Kod
2007,Pink,7306366,12194.72,Westward,M,SPen
1985,Pink,8723321,12246.22,Southeastern,C,SEAK
1992,Pink,8202467,12258.68,Southeastern,C,SEAK
1996,Sockeye,4375582,12261.74,Central,H,CI
2012,Chum,3819046,12340.99,Central,E,PWS
1990,Sockeye,5248407,12388.15,Westward,K,Kod
1989,Pink,7292658,12415.87,Westward,M,SPen
1989,Pink,7864318,12457.09,Southeastern,C,SEAK
2007,Chum,3085619,12696.18,Southeastern,B,SEAK
1996,Sockeye,4970390,12809.74,Westward,K,Kod
1998,Pink,8047998,12823.1,Westward,M,SPen
1997,Sockeye,4449602,12982.66,Central,H,CI
1988,Pink,8863871,13001.23,Southeastern,B,SEAK
1986,Sockeye,5029612,13011.92,Central,H,CI
1993,Sockeye,5003817,13186.9,Central,H,CI
1991,Sockeye,5704152,13228.06,Westward,K,Kod
1999,Pink,9698474,13236.94,Southeastern,D,SEAK
1993,Pink,9796277,13261.8,Southeastern,C,SEAK
1992,Pink,8637116,13319.87,Central,E,PWS
2010,Chum,4323309,13335.89,Central,E,PWS
2004,Pink,7978668,13424.31,Southeastern,D,SEAK
2013,Chum,4142976,13662.56,Southeastern,D,SEAK
2010,Chum,3338596,13697.32,Southeastern,B,SEAK
2005,Pink,9424892,13728.65,Westward,M,SPen
2013,Chum,4070524.98,13759.35,Central,E,PWS
2004,Sockeye,5067942,13871.24,Central,H,CI
1994,Pink,9179853,14020.11,Westward,M,SPen
1994,Pink,8162564,14114.12,Westward,K,Kod
2008,Chum,3586688,14152.32,Southeastern,A,SEAK
2003,Pink,8701937,14227.1,Southeastern,A,SEAK
2011,Chum,4502224,14242.47,Southeastern,A,SEAK
2001,Chum,3209457,14307.35,Southeastern,B,SEAK
2006,Chum,2924175,14444.57,Southeastern,B,SEAK
2010,Pink,8871051,14608.47,Westward,K,Kod
2004,Pink,8553824,14649.77,Southeastern,C,SEAK
2005,Pink,9203404,14696.41,Southeastern,D,SEAK
2000,Pink,9927397,14741.24,Westward,K,Kod
2008,Pink,8788655,14761.95,Westward,K,Kod
1992,Pink,9770386,14833.82,Westward,M,SPen
2005,Sockeye,5484572,14886.67,Central,H,CI
1993,Pink,9928107,15118.75,Westward,M,SPen
1991,Pink,10616756,15134.98,Westward,M,SPen
1989,Sockeye,5184634,15369.68,Central,H,CI
1995,Chum,3964732,15429.78,Southeastern,B,SEAK
1998,Pink,9641248,15671.01,Southeastern,D,SEAK
2000,Chum,3680165,15723.02,Southeastern,A,SEAK
2012,Chum,4196844,15734.13,Southeastern,A,SEAK
1994,Chum,4750176,15777.25,Southeastern,D,SEAK
2004,Chum,4382763,15822.51,Southeastern,D,SEAK
1986,Pink,11425794,15889.09,Central,E,PWS
2011,Pink,8945729,16109.54,Southeastern,B,SEAK
2013,Pink,11551348,16235.08,Southeastern,A,SEAK
2011,Sockeye,5676960,16443.06,Central,H,CI
1999,Pink,11898382,16493.41,Westward,K,Kod
2011,Chum,4387506,16725.75,Southeastern,B,SEAK
1995,Chum,4917353,16827.38,Southeastern,D,SEAK
1997,Pink,11035134,16906.96,Westward,K,Kod
1997,Chum,4271859,16923.79,Southeastern,D,SEAK
2014,Pink,10677933,16980.57,Westward,K,Kod
1999,Chum,3707822,17436.55,Southeastern,B,SEAK
2000,Pink,11215595,17459.03,Southeastern,B,SEAK
1997,Pink,9854627,17459.89,Southeastern,B,SEAK
2015,Pink,10869883,17601.05,Southeastern,A,SEAK
2000,Chum,3866729,17616.2,Southeastern,B,SEAK
2006,Chum,4510491,17782.16,Southeastern,A,SEAK
2004,Pink,11056862,17840.63,Southeastern,A,SEAK
2008,Chum,5076135,17854.36,Central,E,PWS
2006,Chum,4595367,18224.48,Southeastern,D,SEAK
2013,Chum,5485417.5,18379.09,Southeastern,A,SEAK
1994,Pink,13663802,18420.2,Southeastern,A,SEAK
2002,Pink,12340464,18486.39,Southeastern,C,SEAK
1988,Pink,11831407,18706.31,Central,E,PWS
2000,Chum,5163769,18820.71,Central,E,PWS
1997,Chum,4663093,18930.38,Southeastern,B,SEAK
1986,Pink,11809223,19585.97,Westward,K,Kod
2008,Pink,12724702,19640.11,Westward,M,SPen
2011,Pink,11945124,19785.34,Southeastern,C,SEAK
2015,Pink,11901794,19851.22,Southeastern,B,SEAK
1998,Chum,5429998,20233.25,Southeastern,D,SEAK
2008,Pink,12220152,20274.68,Southeastern,B,SEAK
1996,Chum,5050543,20418.85,Southeastern,B,SEAK
1999,Pink,15617071,20476.03,Southeastern,C,SEAK
2011,Pink,12050872,20580.78,Southeastern,D,SEAK
2015,Chum,4727802,20847.24,Southeastern,B,SEAK
2013,Pink,14981960,20851.62,Southeastern,D,SEAK
1988,Sockeye,7164900,21241.69,Central,H,CI
1991,Pink,16642841,22020.8,Westward,K,Kod
2003,Pink,14067235,22652.55,Westward,K,Kod
1994,Pink,16718148,22876.33,Southeastern,C,SEAK
2015,Pink,16715252,23835.95,Westward,M,SPen
2002,Chum,6373517,23851.39,Central,E,PWS
2012,Chum,5146367,24128.26,Southeastern,B,SEAK
2011,Pink,16648792,24242.93,Westward,K,Kod
1988,Pink,14564014,24958.32,Westward,K,Kod
2001,Pink,16876174,25136.59,Southeastern,C,SEAK
2010,Pink,12632026,25504.91,Southeastern,B,SEAK
2009,Pink,19001363,25872.9,Central,E,PWS
1995,Pink,16065231,25983.55,Central,E,PWS
1998,Sockeye,10038228,26158.28,Central,T,WAK
1995,Pink,16311942,26635.68,Westward,M,SPen
1999,Pink,21084620,26727.72,Southeastern,A,SEAK
1999,Chum,6617667,26767.19,Southeastern,D,SEAK
1996,Chum,6696542,27183.43,Southeastern,D,SEAK
1994,Pink,19746454,27200.62,Southeastern,B,SEAK
2003,Pink,17853548,27296.53,Southeastern,C,SEAK
2012,Pink,16874657,27412.44,Westward,K,Kod
1992,Sockeye,9300882,27613.15,Central,H,CI
2012,Pink,17395891,27656.95,Southeastern,B,SEAK
1992,Pink,18369694,27660.3,Southeastern,B,SEAK
2005,Pink,17482084,28127.17,Southeastern,A,SEAK
2004,Pink,17743658,28680.44,Southeastern,B,SEAK
2000,Chum,7143920,29307.58,Southeastern,D,SEAK
1987,Sockeye,9718105,29445.49,Central,H,CI
2002,Sockeye,10677961,29470.36,Central,T,WAK
2002,Pink,18950931,29844.22,Central,E,PWS
2013,Pink,21341214,29949.27,Southeastern,C,SEAK
1998,Chum,7197003,30424.57,Southeastern,B,SEAK
2001,Pink,19567163,30556.4,Westward,K,Kod
2002,Pink,18328638,30622.18,Westward,K,Kod
2002,Pink,22311358,32914.68,Southeastern,B,SEAK
1997,Sockeye,12159264,32978.53,Central,T,WAK
2009,Pink,23494359,33575.1,Southeastern,B,SEAK
1998,Pink,21589600,33698.15,Southeastern,B,SEAK
1989,Pink,21886466,34010.18,Central,E,PWS
2004,Pink,21440905,35417.24,Westward,K,Kod
2006,Pink,21722036,35510.93,Central,E,PWS
2003,Pink,22150950,36014.91,Southeastern,B,SEAK
1998,Pink,22062465,37089.07,Westward,K,Kod
2005,Pink,25201769,39146.56,Southeastern,B,SEAK
2004,Pink,23531483,39666.11,Central,E,PWS
1988,Sockeye,13989796,39785.02,Central,T,WAK
1985,Pink,25129419,40040.4,Central,E,PWS
2013,Pink,28197885,40450.49,Westward,K,Kod
2007,Pink,24811976,40915.1,Westward,K,Kod
1985,Pink,28073305,41327.92,Southeastern,B,SEAK
2009,Pink,27649940,41542.73,Westward,K,Kod
1996,Pink,26048812,41852.69,Central,E,PWS
2013,Sockeye,15431513,42015.52,Central,T,WAK
2003,Sockeye,14765652,42362.06,Central,T,WAK
1991,Pink,37135561,42680.44,Central,E,PWS
2011,Pink,26108665,42955.21,Southeastern,A,SEAK
1999,Pink,31448119,43104.54,Southeastern,B,SEAK
2001,Sockeye,14181090,43381.54,Central,T,WAK
1987,Sockeye,16068775,43444.5,Central,T,WAK
1986,Sockeye,15776065,43461.89,Central,T,WAK
1997,Pink,25836563,43949.96,Central,E,PWS
2007,Pink,26855594,44731.74,Southeastern,B,SEAK
2011,Pink,33403424,45302.94,Central,E,PWS
1993,Pink,33336885,45555.13,Southeastern,B,SEAK
1987,Pink,29358842,46371.3,Central,E,PWS
2005,Pink,30143827,46632.65,Westward,K,Kod
2014,Pink,29743027,46991.51,Southeastern,B,SEAK
1998,Pink,28694697,47364.55,Central,E,PWS
1993,Pink,34019420,48266.92,Westward,K,Kod
2012,Pink,27237360,48584.61,Central,E,PWS
2015,Pink,33029000,49679.78,Westward,K,Kod
1994,Pink,36886301,52189.93,Central,E,PWS
1991,Pink,41790856,52818.7,Southeastern,B,SEAK
2006,Pink,31694492,53246.33,Westward,K,Kod
2012,Sockeye,20919883,54164.06,Central,T,WAK
2001,Pink,35246524,54184.11,Central,E,PWS
1995,Pink,39479327,56631.11,Southeastern,B,SEAK
2000,Sockeye,20458968,56990.75,Central,T,WAK
1990,Pink,44165077,59657.36,Central,E,PWS
2001,Pink,40233432,59669.34,Southeastern,B,SEAK
2000,Pink,38885528,60287.02,Central,E,PWS
1999,Pink,45031400,60346.16,Central,E,PWS
2011,Sockeye,22108476,61219.7,Central,T,WAK
1985,Sockeye,23702883,61813.11,Central,T,WAK
2008,Pink,42353653,65107.7,Central,E,PWS
1986,Pink,43657533,65982.55,Southeastern,B,SEAK
1989,Pink,42595250,66119.01,Southeastern,B,SEAK
2014,Pink,44659329,67685.8,Central,E,PWS
1991,Sockeye,25821180,67833.21,Central,T,WAK
1995,Pink,42849309,68216.68,Westward,K,Kod
2004,Sockeye,26264895,68808.07,Central,T,WAK
1996,Pink,52041714,70170.27,Southeastern,B,SEAK
2005,Sockeye,24525350,70311.48,Central,T,WAK
2013,Pink,46912415,71308.22,Southeastern,B,SEAK
2008,Sockeye,27678466,72555.02,Central,T,WAK
2014,Sockeye,29125947,73597.51,Central,T,WAK
1989,Sockeye,28735306,74340.11,Central,T,WAK
2006,Sockeye,28493355,74615.8,Central,T,WAK
2010,Sockeye,29059815,77051.31,Central,T,WAK
2007,Sockeye,29773309,78646.72,Central,T,WAK
1992,Sockeye,31879676,82797.97,Central,T,WAK
2009,Sockeye,30924330,83242.02,Central,T,WAK
2003,Pink,51968721,83907.92,Central,E,PWS
1996,Sockeye,29592257,84342.16,Central,T,WAK
1990,Sockeye,33444279,87226.35,Central,T,WAK
2015,Sockeye,36442645,88236.79,Central,T,WAK
1994,Sockeye,35224050,88690.19,Central,T,WAK
2005,Pink,59944654,93691.03,Central,E,PWS
2007,Pink,63469830,96821.78,Central,E,PWS
1995,Sockeye,44268809,110457.65,Central,T,WAK
1993,Sockeye,40462551,110461.09,Central,T,WAK
2010,Pink,71309596,116253.99,Central,E,PWS
2013,Pink,92482235,116337.99,Central,E,PWS
2015,Pink,97333110,148374.21,Central,E,PWS
1990,Chinook,87531,,Southeastern,A,SEAK
1990,Chum,603425,,Southeastern,A,SEAK
1990,Sockeye,856435,,Southeastern,A,SEAK
1990,Steelhead,444,,Southeastern,A,SEAK
1990,Steelhead,1755,,Southeastern,B,SEAK
1990,Chinook,53302,,Southeastern,C,SEAK
1990,Chum,230697,,Southeastern,C,SEAK
1990,Coho,349378,,Southeastern,C,SEAK
1990,Pink,3350954,,Southeastern,C,SEAK
1990,Sockeye,215918,,Southeastern,C,SEAK
1990,Steelhead,1049,,Southeastern,C,SEAK
2003,Steelhead,1,,Southeastern,C,SEAK
1990,Steelhead,36,,Southeastern,D,SEAK
1985,Steelhead,,,Westward,M,WAK
1985,Steelhead,,,Westward,M,SPen
1986,Steelhead,,,Westward,M,WAK
1986,Steelhead,,,Westward,M,SPen
1987,Steelhead,,,Westward,M,WAK
1987,Steelhead,,,Westward,M,SPen
1988,Steelhead,,,Westward,M,WAK
1988,Steelhead,,,Westward,M,SPen
1989,Steelhead,,,Westward,M,WAK
1989,Steelhead,,,Westward,M,SPen
1990,Steelhead,,,Westward,M,WAK
1990,Steelhead,,,Westward,M,SPen
1991,Steelhead,,,Westward,M,WAK
1991,Steelhead,,,Westward,M,SPen
1992,Steelhead,,,Westward,M,WAK
1992,Steelhead,,,Westward,M,SPen
1993,Steelhead,,,Westward,M,WAK
1993,Steelhead,,,Westward,M,SPen
1994,Steelhead,,,Westward,M,WAK
1994,Steelhead,,,Westward,M,SPen
1995,Steelhead,,,Westward,M,WAK
1995,Steelhead,,,Westward,M,SPen
1996,Steelhead,,,Westward,M,WAK
1996,Steelhead,,,Westward,M,SPen
1997,Steelhead,,,Westward,M,WAK
1997,Steelhead,,,Westward,M,SPen
1998,Steelhead,,,Westward,M,WAK
1998,Steelhead,,,Westward,M,SPen
1999,Steelhead,,,Westward,M,WAK
1999,Steelhead,,,Westward,M,SPen
2000,Steelhead,,,Westward,M,WAK
2000,Steelhead,,,Westward,M,SPen
2001,Steelhead,,,Westward,M,WAK
2001,Steelhead,,,Westward,M,SPen
2002,Steelhead,,,Westward,M,WAK
2002,Steelhead,,,Westward,M,SPen
2003,Steelhead,,,Westward,M,WAK
2003,Steelhead,,,Westward,M,SPen
2004,Steelhead,,,Westward,M,WAK
2004,Steelhead,,,Westward,M,SPen
2005,Steelhead,,,Westward,M,WAK
2005,Steelhead,,,Westward,M,SPen
2006,Steelhead,,,Westward,M,WAK
2006,Steelhead,,,Westward,M,SPen
2007,Steelhead,,,Westward,M,WAK
2007,Steelhead,,,Westward,M,SPen
2008,Steelhead,,,Westward,M,WAK
2008,Steelhead,,,Westward,M,SPen
2009,Steelhead,,,Westward,M,WAK
2009,Steelhead,,,Westward,M,SPen
2010,Steelhead,,,Westward,M,WAK
2010,Steelhead,,,Westward,M,SPen
2011,Steelhead,,,Westward,M,WAK
2011,Steelhead,,,Westward,M,SPen
2012,Steelhead,,,Westward,M,WAK
2012,Steelhead,,,Westward,M,SPen
2013,Steelhead,,,Westward,M,WAK
2013,Steelhead,,,Westward,M,SPen
2014,Steelhead,,,Westward,M,WAK
2014,Steelhead,,,Westward,M,SPen
2015,Steelhead,,,Westward,M,WAK
2006,Pink,3,,A-Y-K,X,WAK
2006,Sockeye,5,,A-Y-K,X,WAK
2007,Coho,2,,A-Y-K,X,WAK
2015,Coho,6,,A-Y-K,X,WAK
2015,Pink,13,,A-Y-K,X,WAK
2015,Sockeye,6,,A-Y-K,X,WAK
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,32586,,,,