"Year","Pink_Asia","Pink_NA","Chum_Asia","Chum_NA","Sock_Asia","Sock_NA"
1952,1.49083333333333,1.5066889632107,6.83569739952719,5.2621359223301,2.88757396449704,3.02968460111317
1953,1.50893550893551,1.27758970886933,6.47860962566845,5.26404494382022,2.56910569105691,3.02938090241343
1954,1.48667324777887,1.51202404809619,6.20062208398134,5.26458208057727,2.15094339622642,3.03125
1955,1.47018661811561,1.51303317535545,5.97848837209302,5.26174496644295,1.77346278317152,3.03086419753086
1956,1.46263157894737,1.49956483899043,6.22863485016648,5.26147278548559,2.00337837837838,3.01668211306766
1957,1.45882352941176,1.51244979919679,5.7719836400818,5.26429163214582,1.70247933884298,2.4748490945674
1958,1.58642857142857,1.49527896995708,5.25171821305842,5.26145038167939,1.61172161172161,3.82357658380112
1959,1.51718009478673,1.51206715634837,5.69145299145299,5.26086956521739,1.90151515151515,5.86142322097378
1960,1.69377382465057,1.50158227848101,5.84288052373159,5.26442953020134,1.79032258064516,2.72434915773354
1961,1.48959200666112,1.50285306704708,5.95472440944882,5.2596599690881,1.91549295774648,2.45172124265323
1962,1.58813838550247,1.50433452320245,5.86633663366337,5.26629680998613,1.88343558282209,3.08712613784135
1963,1.51340694006309,1.50086058519793,5.8305582761998,5.25849056603774,1.86290322580645,4.30873493975904
1964,1.53287197231834,1.50168577208361,5.5083857442348,5.26548672566372,1.88297872340426,6.06105834464043
1965,1.52741702741703,1.50489662676823,5.80314960629921,5.26530612244898,1.85,2.1156282998944
1966,1.59259259259259,1.31734693877551,5.46641438032166,5.26445086705202,1.92543859649123,2.67555938037866
1967,1.57311977715877,1.14897760467381,5.38807649043869,5.26436781609195,1.8156862745098,3.29312288613303
1968,1.64,1.32626325639426,5.1424287856072,5.26555555555556,1.79411764705882,4.27995255041518
1969,1.57606734816597,1.4005994005994,4.88653846153846,5.26044226044226,1.73626373626374,4.2763671875
1970,1.62176165803109,1.31537916371368,5.08842652795839,5.26596858638743,1.97233201581028,2.44678138942001
1971,1.45264381173736,1.2859477124183,5.10123456790123,5.2656023222061,1.91333333333333,2.60088105726872
1972,1.42589928057554,1.29244249726177,4.72561768530559,5.26338329764454,1.7265625,3.20338983050847
1973,1.48001949317739,1.25847953216374,4.97991967871486,5.26312201772325,1.928,3.8098016336056
1974,1.44861878453039,1.34625322997416,4.96747114375656,5.26285714285714,1.80808080808081,3.76785714285714
1975,1.48604551309575,1.31776765375854,5.07478260869565,5.26666666666667,1.88118811881188,2.78363123236124
1976,1.48117154811715,1.35807192042846,5.08917835671343,5.26135105204873,1.81481481481481,3.64699683877766
1977,1.49403446752099,1.33630510153541,5.44433198380567,5.26245443499393,2.15789473684211,4.19878472222222
1978,1.49689991142604,1.40732265446224,5.68987341772152,5.26299045599152,2.31481481481481,4.5818431911967
1979,1.49720386375191,1.32845744680851,5.71076079506511,5.26016260162602,2.27551020408163,4.20500271886895
1980,1.49605781865966,1.40041493775934,5.55035685963521,5.29029605263158,2.33606557377049,3.01147842056933
1981,1.49272833042467,1.26878612716763,5.51474530831099,5.3900293255132,2.36521739130435,3.29541864139021
1982,1.48651348651349,1.42461538461538,5.47608695652174,5.27768729641694,2.35164835164835,3.89577039274924
1983,1.50122488975992,1.29034976822587,5.59699769053118,5.50060753341434,2.46086956521739,3.3777564717162
1984,1.49379432624114,1.41705360911777,5.44616336633663,5.41038961038961,2.66187050359712,3.36745406824147
1985,1.49626467449306,1.31438935912938,5.59408602150538,5.4686809137804,2.8232044198895,3.14103773584906
1986,1.49760191846523,1.38415094339623,5.61888111888112,5.41215323645971,2.84027777777778,3.60010400416017
1987,1.5103825136612,1.26142131979695,5.69077941925624,5.63873873873874,2.91162790697674,3.51566648964418
1988,1.5036231884058,1.31441717791411,5.67501203659124,5.57702630166398,2.96575342465753,4.43345771144279
1989,1.51770911831198,1.36016096579477,5.60053739364084,6.1378896882494,2.97023809523809,3.98816827344435
1990,1.5264301230992,1.327078891258,5.59780621572212,5.94778325123153,3,3.57954979015643
1991,1.51130247578041,1.3445071357451,5.54630815194195,6.22160356347439,3.00819672131148,3.69035984007108
1992,1.51094890510949,1.45382165605096,5.63366336633663,6.31709401709402,3.03125,3.4357316087308
1993,1.51766368346679,1.45625,5.70264064293915,6.74269557021678,3.03225806451613,3.22442799461642
1994,1.53221052631579,1.44399677679291,5.80674846625767,6.37262606417813,3.02325581395349,3.81779298545766
1995,1.53208955223881,1.42528735632184,5.78901734104046,6.46911866759195,3.03020134228188,2.85869112130054
1996,1.57271863117871,1.44763445208249,5.67603711790393,5.56147789218655,3.03571428571429,2.82494432071269
1997,1.54299458809381,1.40754877014419,5.65741597286463,6.1492295214923,3.02489626556017,3.68103957471943
1998,1.55430387059503,1.44162033359809,5.78022388059701,5.9974176888315,3.03589743589744,5.22814321398834
1999,1.51616802659414,1.41872085276482,5.82451824518245,5.26150474799123,3.03555555555556,3.99876771410967
2000,1.55435591958302,1.38343732274532,5.91588385994876,5.26332487309645,3.02564102564103,3.69187848729076
2001,1.51523358158429,1.43022870401061,5.7304286220333,5.26360153256705,3.03343465045593,3.69464170432537
2002,1.58287705326033,1.46171171171171,5.76730434782609,5.26334026334026,3.0314606741573,4.5482912332838
2003,1.55453972257251,1.35867871611094,5.60823529411765,5.26459719142646,3.03174603174603,4.58739595719382
2004,1.55132699048573,1.47068273092369,5.63113932509188,5.26307448494453,3.02675585284281,3.32454780361757
2005,1.53917438921651,1.38952850877193,5.67903395169759,5.25929549902153,3.03409090909091,3.0310119695321
2006,1.55,1.41,5.67903395169759,5.25929549902153,3.03409090909091,3.0310119695321
2007,1.55,1.41,5.67903395169759,5.25929549902153,3.03409090909091,3.0310119695321
2008,1.55,1.41,5.67903395169759,5.25929549902153,3.03409090909091,3.0310119695321
2009,1.55,1.41,5.67903395169759,5.25929549902153,3.03409090909091,3.0310119695321
2010,1.55,1.41,5.67903395169759,5.25929549902153,3.03409090909091,3.0310119695321
2011,1.55,1.41,5.67903395169759,5.25929549902153,3.03409090909091,3.0310119695321
2012,1.55,1.41,5.67903395169759,5.25929549902153,3.03409090909091,3.0310119695321
2013,1.55,1.41,5.67903395169759,5.25929549902153,3.03409090909091,3.0310119695321
2014,1.55,1.41,5.67903395169759,5.25929549902153,3.03409090909091,3.0310119695321
2015,1.55,1.41,5.67903395169759,5.25929549902153,3.03409090909091,3.0310119695321
